epoch 575, minibatch 244/244, test error of best model 83.800000 %
epoch 580, minibatch 244/244, test error of best model 83.866667 %
epoch 585, minibatch 244/244, test error of best model 83.866667 %
epoch 590, minibatch 244/244, test error of best model 83.933333 %
epoch 595, minibatch 244/244, test error of best model 84.000000 %
epoch 600, minibatch 244/244, test error of best model 84.033333 %
epoch 605, minibatch 244/244, test error of best model 84.033333 %
epoch 610, minibatch 244/244, test error of best model 84.033333 %
epoch 615, minibatch 244/244, test error of best model 84.033333 %
epoch 620, minibatch 244/244, test error of best model 84.000000 %
epoch 625, minibatch 244/244, test error of best model 84.000000 %
epoch 630, minibatch 244/244, test error of best model 84.066667 %
epoch 635, minibatch 244/244, test error of best model 84.033333 %
epoch 640, minibatch 244/244, test error of best model 84.033333 %
epoch 645, minibatch 244/244, test error of best model 84.066667 %
epoch 650, minibatch 244/244, test error of best model 84.100000 %
epoch 655, minibatch 244/244, test error of best model 84.100000 %
epoch 660, minibatch 244/244, test error of best model 84.133333 %
epoch 665, minibatch 244/244, test error of best model 84.133333 %
epoch 670, minibatch 244/244, test error of best model 84.100000 %
epoch 675, minibatch 244/244, test error of best model 84.100000 %
epoch 680, minibatch 244/244, test error of best model 84.066667 %
epoch 685, minibatch 244/244, test error of best model 84.100000 %
epoch 690, minibatch 244/244, test error of best model 84.066667 %
epoch 695, minibatch 244/244, test error of best model 84.033333 %
epoch 700, minibatch 244/244, test error of best model 84.133333 %
epoch 705, minibatch 244/244, test error of best model 84.133333 %
epoch 710, minibatch 244/244, test error of best model 84.200000 %
epoch 715, minibatch 244/244, test error of best model 84.200000 %
epoch 720, minibatch 244/244, test error of best model 84.200000 %
epoch 725, minibatch 244/244, test error of best model 84.200000 %
epoch 730, minibatch 244/244, test error of best model 84.233333 %
epoch 735, minibatch 244/244, test error of best model 84.200000 %
epoch 740, minibatch 244/244, test error of best model 84.233333 %
epoch 745, minibatch 244/244, test error of best model 84.200000 %
epoch 750, minibatch 244/244, test error of best model 84.100000 %
epoch 755, minibatch 244/244, test error of best model 84.133333 %
epoch 760, minibatch 244/244, test error of best model 84.133333 %
epoch 765, minibatch 244/244, test error of best model 84.133333 %
epoch 770, minibatch 244/244, test error of best model 84.133333 %
epoch 775, minibatch 244/244, test error of best model 84.100000 %
epoch 780, minibatch 244/244, test error of best model 84.133333 %
epoch 785, minibatch 244/244, test error of best model 84.133333 %
epoch 790, minibatch 244/244, test error of best model 84.100000 %
epoch 795, minibatch 244/244, test error of best model 84.066667 %
epoch 800, minibatch 244/244, test error of best model 84.066667 %
epoch 805, minibatch 244/244, test error of best model 84.033333 %
epoch 810, minibatch 244/244, test error of best model 84.033333 %
epoch 815, minibatch 244/244, test error of best model 84.000000 %
epoch 820, minibatch 244/244, test error of best model 84.033333 %
epoch 825, minibatch 244/244, test error of best model 84.066667 %
epoch 830, minibatch 244/244, test error of best model 84.066667 %
epoch 835, minibatch 244/244, test error of best model 84.000000 %
epoch 840, minibatch 244/244, test error of best model 84.000000 %
epoch 845, minibatch 244/244, test error of best model 84.000000 %
epoch 850, minibatch 244/244, test error of best model 84.033333 %
epoch 855, minibatch 244/244, test error of best model 84.066667 %
epoch 860, minibatch 244/244, test error of best model 84.033333 %
epoch 865, minibatch 244/244, test error of best model 84.033333 %
epoch 870, minibatch 244/244, test error of best model 84.033333 %
epoch 875, minibatch 244/244, test error of best model 84.000000 %
epoch 880, minibatch 244/244, test error of best model 84.000000 %
epoch 885, minibatch 244/244, test error of best model 84.000000 %
epoch 890, minibatch 244/244, test error of best model 84.033333 %
epoch 895, minibatch 244/244, test error of best model 84.033333 %
epoch 900, minibatch 244/244, test error of best model 84.033333 %
epoch 905, minibatch 244/244, test error of best model 84.033333 %
epoch 910, minibatch 244/244, test error of best model 84.066667 %
epoch 915, minibatch 244/244, test error of best model 84.066667 %
epoch 920, minibatch 244/244, test error of best model 84.100000 %
epoch 925, minibatch 244/244, test error of best model 84.133333 %
epoch 930, minibatch 244/244, test error of best model 84.133333 %
epoch 935, minibatch 244/244, test error of best model 84.166667 %
epoch 940, minibatch 244/244, test error of best model 84.166667 %
epoch 945, minibatch 244/244, test error of best model 84.266667 %
epoch 950, minibatch 244/244, test error of best model 84.266667 %
epoch 955, minibatch 244/244, test error of best model 84.266667 %
epoch 960, minibatch 244/244, test error of best model 84.300000 %
epoch 965, minibatch 244/244, test error of best model 84.300000 %
epoch 970, minibatch 244/244, test error of best model 84.300000 %
epoch 975, minibatch 244/244, test error of best model 84.300000 %
epoch 980, minibatch 244/244, test error of best model 84.300000 %
epoch 985, minibatch 244/244, test error of best model 84.266667 %
epoch 990, minibatch 244/244, test error of best model 84.266667 %
epoch 995, minibatch 244/244, test error of best model 84.266667 %
epoch 1000, minibatch 244/244, test error of best model 84.233333 %
